"","SoV_m","SoV_r","SoV_i","Relief","XGBoost","Boruta","adaptive Lasso"
"1",0,2.44948974278318,1.4142135623731,9.53939201416946,6.48074069840786,4,0
"2",2,1,1,11.7898261225516,6.32455532033676,4,0
"3",1.4142135623731,2,1.4142135623731,9.79795897113271,9.48683298050514,4.58257569495584,0
"4",2,2.44948974278318,2,10.9544511501033,6.2449979983984,4.35889894354067,0
"5",2,1.4142135623731,0,12.7671453348037,9.21954445729289,4.89897948556636,0
"6",2,1.4142135623731,0,12.6095202129185,6.48074069840786,4.89897948556636,0
"7",1,2.44948974278318,1,11.3578166916005,6.2449979983984,4,0
"8",2,2,2,10.5356537528527,6.08276253029822,4,0
"9",1,0,0,13.228756555323,6,4,0
"10",1.4142135623731,2.82842712474619,1.73205080756888,10.1488915650922,6.48074069840786,4.35889894354067,0
"11",2,1,2,10.1488915650922,0,4,0
"12",3.16227766016838,2,2,10.9087121146357,9.2736184954957,4.35889894354067,0
"13",2,3.16227766016838,2,10.0498756211209,9.64365076099295,5.3851648071345,0
"14",3.16227766016838,2.44948974278318,2.44948974278318,9.05538513813742,9.48683298050514,4.35889894354067,0
"15",2.64575131106459,1.4142135623731,1.73205080756888,10.0498756211209,6.08276253029822,5.3851648071345,0
"16",1.4142135623731,1.4142135623731,0,8.18535277187245,6.32455532033676,4.89897948556636,0
"17",2.44948974278318,2,1.4142135623731,10.3440804327886,9.48683298050514,4.89897948556636,0
"18",1,1,1,8.54400374531753,6,4,0
"19",1.4142135623731,1.4142135623731,1.4142135623731,10.3440804327886,6.08276253029822,4.89897948556636,0
"20",2.64575131106459,1.4142135623731,1.73205080756888,12.9228479833201,6.08276253029822,4,0
"21",0,2.82842712474619,0,11.7473401244707,6.16441400296898,4.89897948556636,0
"22",2.23606797749979,1.73205080756888,1,11.6619037896906,6.16441400296898,5.3851648071345,0
"23",0,1.4142135623731,0,9.16515138991168,9.48683298050514,4.58257569495584,0
"24",2,1.4142135623731,0,7.87400787401181,6.48074069840786,4.58257569495584,0
"25",0,1.4142135623731,0,8.77496438739212,6.48074069840786,4,0
"26",2.23606797749979,1.73205080756888,2,7.87400787401181,6.08276253029822,4.35889894354067,0
"27",1.73205080756888,1.73205080756888,2.44948974278318,8.30662386291807,7,4.35889894354067,0
"28",0,2.82842712474619,1.4142135623731,12.2474487139159,6.08276253029822,4.35889894354067,0
"29",1.73205080756888,1.4142135623731,1.73205080756888,9.48683298050514,7.34846922834953,4.58257569495584,0
"30",1,1,1,11.916375287813,9.2736184954957,4.89897948556636,0
"31",1,2.44948974278318,0,11.3578166916005,6.48074069840786,4.89897948556636,0
"32",2,1.73205080756888,1,11.5758369027902,6.08276253029822,4.35889894354067,0
"33",1.4142135623731,1.73205080756888,1,9.74679434480896,9.53939201416946,4,0
"34",1.4142135623731,0,1.4142135623731,11.5758369027902,6.2449979983984,4.89897948556636,0
"35",1,2.82842712474619,0,11.2694276695846,6.16441400296898,4.35889894354067,0
"36",1,1.4142135623731,1,14.2126704035519,6.08276253029822,4.89897948556636,0
"37",2,2.82842712474619,2,9.1104335791443,6.16441400296898,4.35889894354067,0
"38",1.73205080756888,2.44948974278318,1.73205080756888,8.60232526704263,6.78232998312527,4.79583152331272,0
"39",0,0,0,10.8627804912002,0,4.89897948556636,0
