"","SoV_m","SoV_r","SoV_i","Relief","XGBoost","Boruta","adaptive Lasso"
"1",1,2.82842712474619,1.73205080756888,10.4880884817015,6.16441400296898,3.87298334620742,0
"2",1.73205080756888,2.44948974278318,1.4142135623731,6.557438524302,9.21954445729289,3.87298334620742,0
"3",1,0,0,10.3923048454133,6.48074069840786,4,0
"4",1.73205080756888,2,1.4142135623731,10.9087121146357,6.08276253029822,4,0
"5",1,1.73205080756888,1,8.48528137423857,6.08276253029822,4.58257569495584,0
"6",0,1.73205080756888,1,8.71779788708135,6,4,0
"7",2,2.82842712474619,2,9.53939201416946,9.2736184954957,4,0
"8",0,1,1,9.9498743710662,6.08276253029822,4.35889894354067,0
"9",1.4142135623731,2,1.4142135623731,8.42614977317636,6,4.35889894354067,0
"10",0,2.44948974278318,0,8.12403840463596,0,4.58257569495584,0
"11",1,2.44948974278318,2,10.3440804327886,6.48074069840786,4.58257569495584,0
"12",2,2.44948974278318,1.73205080756888,8.12403840463596,9.2736184954957,3.3166247903554,0
"13",2,1.4142135623731,2,12.1655250605964,6.08276253029822,4,0
"14",1,2.82842712474619,0,9.89949493661167,6,4,0
"15",2,2.82842712474619,1.73205080756888,8.94427190999916,9.21954445729289,4.35889894354067,0
"16",0,0,0,11,6.08276253029822,3.16227766016838,0
"17",1,2,1,12.4498995979887,6.08276253029822,4.89897948556636,0
"18",1.4142135623731,1.73205080756888,1.73205080756888,7.14142842854285,6.48074069840786,4,0
"19",1.4142135623731,2,1,9.05538513813742,9.2736184954957,3.87298334620742,0
"20",2,2.44948974278318,1.73205080756888,6.48074069840786,6.08276253029822,4,0
"21",2.64575131106459,2.44948974278318,1.73205080756888,8.42614977317636,9.69535971483266,4.35889894354067,0
"22",0,1.4142135623731,0,9.8488578017961,0,4,0
"23",2.44948974278318,1.73205080756888,2.44948974278318,8.12403840463596,6.08276253029822,3.87298334620742,0
"24",2.64575131106459,1.4142135623731,2.44948974278318,12.1243556529821,6.08276253029822,4.35889894354067,0
"25",2.64575131106459,3.16227766016838,2,11.7473401244707,9.21954445729289,4.35889894354067,0
"26",0,2.44948974278318,0,10.1980390271856,6.08276253029822,4.58257569495584,0
"27",3.3166247903554,2,3,12.4498995979887,6.48074069840786,4.89897948556636,0
"28",1,1.4142135623731,1,8.54400374531753,6.2449979983984,4,0
"29",2.44948974278318,1.4142135623731,1.4142135623731,9.53939201416946,6.08276253029822,4,0
"30",0,1.4142135623731,0,12,6.48074069840786,4.35889894354067,0
"31",0,2,0,13.6381816969859,6.16441400296898,4.58257569495584,0
"32",2.64575131106459,2.44948974278318,1.73205080756888,6.70820393249937,6.16441400296898,4.89897948556636,0
"33",2,2,0,12.8452325786651,6.16441400296898,4,0
"34",1.73205080756888,1.73205080756888,1.73205080756888,6.78232998312527,6.08276253029822,3.87298334620742,0
"35",1.73205080756888,2,1.73205080756888,6.2449979983984,6.48074069840786,4,0
"36",1.73205080756888,2,1.73205080756888,11.5758369027902,6.2449979983984,4,0
"37",2,2,1.73205080756888,10.770329614269,9.21954445729289,4,0
"38",0,1.4142135623731,0,9.32737905308882,6.08276253029822,4,0
"39",0,1.4142135623731,0,12.0415945787923,6,3.87298334620742,0
"40",0,2.44948974278318,0,10.295630140987,6.08276253029822,3.87298334620742,0
"41",2,2.44948974278318,1.73205080756888,9.59166304662544,6.08276253029822,3.87298334620742,0
"42",2,1.73205080756888,1.73205080756888,8.88819441731559,6.08276253029822,3.3166247903554,0
"43",1.4142135623731,2.44948974278318,2,9.2736184954957,6.48074069840786,4.89897948556636,0
"44",2,2.44948974278318,1.4142135623731,13.5277492584687,6.32455532033676,4,0
"45",1,0,0,9.32737905308882,6.08276253029822,4,0
"46",0,1.4142135623731,0,8.71779788708135,6.08276253029822,4,0
"47",0,1.4142135623731,0,11.1803398874989,6.08276253029822,4,0
"48",2.44948974278318,1,1.73205080756888,11.6619037896906,6.08276253029822,4,0
"49",0,1.4142135623731,1,9.2736184954957,6.16441400296898,4,0
"50",1,1,1,8.88819441731559,6.08276253029822,4,0
"51",1.73205080756888,2,1.73205080756888,11.5325625946708,6.16441400296898,4.58257569495584,0
"52",0,1.4142135623731,0,11,0,3.16227766016838,0
"53",2,1.73205080756888,1.73205080756888,9.59166304662544,6.08276253029822,3.3166247903554,0
"54",1,0,1,10.2469507659596,6.16441400296898,3.16227766016838,0
"55",2,2.82842712474619,1.73205080756888,12.7671453348037,9.21954445729289,4,0
"56",2,0,2,12.8452325786651,6,4,0
"57",1,0,1,11.8321595661992,6.08276253029822,4.35889894354067,0
"58",0,1,0,11.4017542509914,6.08276253029822,4.35889894354067,0
"59",1,0,1,10.0995049383621,6.08276253029822,4,0
"60",1.73205080756888,2.44948974278318,1.73205080756888,11.13552872566,6.16441400296898,4,0
"61",2.23606797749979,1.4142135623731,2.23606797749979,9.89949493661167,6.16441400296898,4.35889894354067,0
"62",2,3.60555127546399,1.73205080756888,11.4017542509914,6,4,0
"63",2,1,1.4142135623731,10.6770782520313,6.08276253029822,4.89897948556636,0
"64",1.73205080756888,2,1.4142135623731,10.0498756211209,6.32455532033676,3.3166247903554,0
"65",2,1.4142135623731,1.73205080756888,8.12403840463596,6.48074069840786,4.89897948556636,0
"66",2,2.64575131106459,2,9,6,4,0
"67",0,1.4142135623731,0,8.88819441731559,6.16441400296898,4,0
"68",2,1.4142135623731,1.73205080756888,10.8627804912002,6.32455532033676,4.35889894354067,0
"69",0,1.4142135623731,0,10.1488915650922,6.08276253029822,4.35889894354067,0
"70",0,0,0,12.5698050899765,6.32455532033676,4.35889894354067,0
"71",2,2.44948974278318,2.64575131106459,9.8488578017961,6.08276253029822,4,0
"72",0,1.4142135623731,0,10.6770782520313,6.16441400296898,3.74165738677394,0
"73",2,1.73205080756888,2,7.48331477354788,6.16441400296898,4,0
"74",2,1.73205080756888,2,6.557438524302,6.48074069840786,4.58257569495584,0
"75",1,1.73205080756888,1,10.295630140987,6.48074069840786,4,0
"76",0,0,0,7.14142842854285,6,3.16227766016838,0
"77",2,2.82842712474619,2,12.6095202129185,9.2736184954957,4,0
"78",0,1,0,10.7238052947636,6.32455532033676,3.74165738677394,0
"79",0,1.4142135623731,0,11,6.2449979983984,4,0
"80",1,1,1,11.916375287813,6.08276253029822,4,0
"81",2,2,2,9.64365076099295,6.16441400296898,4,0
"82",1.4142135623731,2.82842712474619,1.4142135623731,13.4164078649987,6.08276253029822,4,0
"83",2,1.73205080756888,2,10.9544511501033,6.08276253029822,4,0
"84",0,0,0,9.69535971483266,6.08276253029822,4.89897948556636,0
"85",0,1.4142135623731,0,4.89897948556636,6.08276253029822,4,0
"86",1,2.44948974278318,1,11.2249721603218,6.08276253029822,4,0
"87",1.73205080756888,1.73205080756888,1,7.28010988928052,6.16441400296898,4.89897948556636,0
"88",2.23606797749979,2.82842712474619,1.73205080756888,10.9087121146357,6.08276253029822,4.35889894354067,0
"89",0,1.4142135623731,0,8.94427190999916,6.48074069840786,4.35889894354067,0
"90",1.73205080756888,2.82842712474619,1.4142135623731,10.0498756211209,9.2736184954957,4,0
"91",2.64575131106459,1.73205080756888,2.44948974278318,10.816653826392,6.32455532033676,4.89897948556636,0
"92",1,1,1,6.2449979983984,6,4,0
"93",1,0,0,8.66025403784439,6.16441400296898,4,0
"94",0,0,0,10.5356537528527,6.08276253029822,4,0
"95",1.73205080756888,2,1.4142135623731,8.18535277187245,6.2449979983984,4,0
"96",1,1.4142135623731,0,10.1980390271856,6.08276253029822,4,0
"97",1,2.44948974278318,0,9.53939201416946,6.08276253029822,4,0
"98",2.64575131106459,1.4142135623731,1.73205080756888,8.18535277187245,6.08276253029822,4.35889894354067,0
"99",2,1,2,8.12403840463596,6.48074069840786,4,0
"100",1,0,1,8.12403840463596,6,4,0
